EventID,LocationID,ModNo,Scientific_Name,DBH
CUVAWetlnd2014Jul31,CUVAWetlnd155,2.00,Acer rubrum,67.90
CUVAWetlnd2014Jul31,CUVAWetlnd155 ,3.00,Quercus palustris,41.80
CUVAWetlnd2014Jul31,CUVAWetlnd155 ,6.00,Acer rubrum,67.20
CUVAWetlnd2014Jul31,CUVAWetlnd155 ,6.00,Quercus palustris,51.60
CUVAWetlnd2014Jul31,CUVAWetlnd155 ,10.00,Quercus bicolor,64.40
CUVAWetlnd2014Jul31,CUVAWetlnd155 ,10.00,Fraxinus pennsylvanica,40.50
