SCIENTIFIC_NAME,ACRONYM,AUTHORITY,COFC,SYN,COMMON_NAME,FAMILY,FN,WET,FORM,HABIT,SHADE,USDA_ID,OH_TORE,TYPE,OH_STATUS,EMP,MW,NCNE,NOTES,GROUP
Corallorhiza odontorhiza,CORODO,(Willd.) Poir.,4,,FALL CORAL-ROOT,Orchidaceae,,(UPL),forb,PE,shade,COOD7,,MO,native,,,,,
Corallorhiza sp.,CORALL,Gagnebin% orth. cons.,,,CQRAL-ROOT,Orchidaceae,,ND,forb,PE,shade,CORAL5,,MO,,,,,,
Corallorhiza trifida,CORTRI,Chatel.,9,,EARLY CORAL-ROOT,Orchidaceae,,FACW,forb,PE,shade,COTR18,E,MO,native,FACW,FACW,FACW,,
Corallorhiza wisteriana,CORWIS,Conrad,6,,SPRING CORAL-ROOT,Orchidaceae,,FAC,forb,PE,shade,COWI5,P,MO,native,FAC,FACU,FACU,,
Coreopsis grandiflora,CORGRA,R. Hogg. ex Sweet,0,,LARGE-FLOWERED TICKSEED,Asteraceae,,(UPL),forb,PE,advent,COGR5,,DI,adventive,,,,,
Coreopsis lanceolata,CORLAN,L.,0,,LONG-STALKED TICKSEED,Asteraceae,163.00,FACU,forb,PE,advent,COLA5,,DI,adventive,FACU,FACU,FACU,,
Coreopsis major,CORMAJ,Walter,7,,FOREST TICKSEED,Asteraceae,,(UPL),forb,PE,shade,COMA6,,DI,native,,,,,
Coreopsis sp.,COREOP,L.,,,TICKSEED,Asteraceae,,ND,forb,ND,ND,COREO2,,DI,,,,,,
Coreopsis tinctoria,CORTIN,Nutt.,0,,PLAINS TICKSEED,Asteraceae,,FAC-,forb,AN,advent,COTI3,,DI,adventive,FAC,FACU,FACU,,
Coreopsis tripteris,CORTRP,L.,5,,TALL TICKSEED,Asteraceae,,FAC,forb,PE,partial,COTR4,,DI,native,FAC,FAC,FAC,,
Coriandrum sativum,CORSAT,L.,0,,CORIANDER,Apiaceae,,(FACU),forb,AN,advent,COSA,,DI,adventive,,,,,
Corispermum hyssopfolium,CORHYS,L.,0,,BUGSEED,Chenopodiaceae,,,forb,AN,advent,,,,,,,,,DI
Corispermum hyssopifolium,CORHYS,L.,0,syn,BUGSEED,Chenopodiaceae,,FACU,forb,AN,advent,COAMR,,DI,adventive,,,,,
Corispermum nitidum,CORNIT,Kit. ex Schult.,0,syn,NEAT BUGSEED,Chenopodiaceae,,(FACU),forb,AN,advent,CONI15,,DI,adventive,,,,,
Corispermum sp.,CORISP,L.,,,BUGSEED,Chenopodiaceae,,FACU,forb,AN,advent,CORIS,,DI,,,,,,
Cornus alternifolia,CORALT,L.f.,5,,ALTERNATE-LEAVED DOGWOOD,Cornaceae,,(UPL),shrub,W,shade,COAL2,,DI,native,FAC,FAC,FACU,,
Cornus amomum,CORAMO,Mill.,2,syn,SILKY DOGWOOD,Cornaceae,164.00,FACW,shrub,W,full,COAM2,,DI,native,FACW,FACW,FACW,,
Cornus canadensis,CORCAN,L.,8,,BUNCHBERRY,Cornaceae,,FAC-,shrub,W,shade,COCA13,E,DI,native,FAC,FAC,FAC,,
Cornus drummondii,CORDRU,C.A. Mey.,3,,ROUGH-LEAVED DOGWOOD,Cornaceae,,FAC,shrub,W,partial,CODR,,DI,native,FAC,FAC,FAC,,
Cornus florida,CORFLO,L.,5,,FLOWERING DOGWOOD,Cornaceae,,FACU-,sm tree,W,shade,COFL2,,DI,native,FACU,FACU,FACU,,
Cornus obliqua,COROBL,Raf.,5,,Silky Dogwood,Cornaceae,,FACW,shrub,W,full,COOB9,,DI,native,FACW,FACW,FACW,,
Cornus racemosa,CORRAC,Lam.,1,,GRAY DOGWOOD,Cornaceae,165.00,FAC-,shrub,W,full,CORA6,,DI,native,FAC,FAC,FAC,,
Cornus rugosa,CORRUG,Lam.,8,,ROUND-LEAVED DOGWOOD,Cornaceae,,(UPL),shrub,W,full,CORU,P,DI,native,,,,,
Cornus sericea,CORSER,L.,3,syn,RED-OSIER DOGWOOD,Cornaceae,,FACW+,shrub,W,full,COSE16,,DI,native,,,,,
Cornus sp.,CORNUS,L.,,,DOGWOOD,Cornaceae,,ND,ND,W,ND,CORNU,,DI,,,,,,
Coronilla varia,CORVAR,L.,0,,CROWN-VETCH,Fabaceae,,(UPL),forb,PE,advent,SEVA4,,DI,adventive,,,,,
Coronopus didymus,CORDID,(L.) Sm.,0,,SWINE CRESS,Brassicaceae,,(UPL),forb,AN,advent,CODI6,,DI,adventive,,,,,
Corydalis aurea,CORAUR,Willd.,0,,GOLDEN CORYDALIS,Fumariaceae,,(UPL),forb,BI,advent,COAU2,,DI,adventive,,,,,
Corydalis flavula,CORFLA,(Raf.) DC.,4,,YELLOW HARLEQUIN,Fumariaceae,,FACU,forb,AN,partial,COFL3,,DI,native,FACU,FACU,FACU,,
Corydalis sempervirens,CORSEM,(L.) Pers.,9,,ROCK-HARLEQUIN,Fumariaceae,,(UPL),forb,BI,shade,COSE5,P,DI,native,,,,,
Corydalis sp.,CORYDA,DC.,,,FUMEWORT,Fumariaceae,,ND,forb,ND,partial,CORYD,,DI,,,,,,
Corylus americana,CORAME,Walter,4,,AMERICAN HAZEL,Betulaceae,,FACU-,shrub,W,full,COAM3,,DI,native,FACU,FACU,FACU,,
Corylus cornuta,CORCOR,Marshall,7,,BEAKED HAZEL,Betulaceae,,FACU-,shrub,W,full,COCO6,X,DI,native,FACU,UPL,FACU,,
Corylus sp.,CORYLU,L.,,,HAZEL,Betulaceae,,ND,shrub,W,full,CORYL,,DI,,,,,,
Cosmos bipinnatus,COSBIP,Cav.,0,,COMMON COSMOS,Asteraceae,,(UPL),forb,AN,advent,COBI2,,DI,adventive,FACU,FAC,FAC,,
Cotinus coggygria,COTCOG,Scop.,0,,SMOKE-TREE,Anacardiaceae,,(UPL),sm tree,W,advent,COCO10,,DI,adventive,,,,,
Cotoneaster pyracantha,COTPYR,(L.) Spach,0,,FIRE-THORN,Rosaceae,,(FACU),sm tree,PE,advent,PYCO2,,DI,adventive,,,,,
Crataegus brainerdii,CRABRA,Sarg.,6,,BRAINERD'S HAWTHORN,Rosaceae,166.00,(UPL),sm tree,W,full,CRBR3,X,DI,native,,,,,
Crataegus calpodendron,CRACAL,(Ehrh.) Medik.,4,,PEAR HAWTHORN,Rosaceae,167.00,(UPL),sm tree,W,full,CRCA,,DI,native,,,,,
Crataegus chrysocarpa,CRACHR,Ashe,6,syn,FIREBERRY HAWTHORN,Rosaceae,168.00,(UPL),sm tree,W,full,CRCH,,DI,native,,,,,
Crataegus coccinea,CRACOC,L.,3,,SCARLET HAWTHORN,Rosaceae,169.00,(UPL),sm tree,W,full,CRCHC2,,DI,native,,,,,
Crataegus crus-galli,CRACRU,L.,3,,COCKSPUR,Rosaceae,170.00,FACU,sm tree,W,full,CRCR2,,DI,native,FACU,FAC,FAC,,
Crataegus flabellata,CRAFLA,(Spach) G. Kirchn.,3,,FANLEAVED HAWTHORN,Rosaceae,171.00,(UPL),sm tree,W,full,CRFL,,DI,native,,,,,
Crataegus intricata,CRAINT,Lange,4,,BILTMORE HAWTHORN,Rosaceae,172.00,(UPL),sm tree,W,full,CRIN3,,DI,native,,,,,
Crataegus mollis,CRAMOL,Scheele,3,,DOWNY HAWTHORN,Rosaceae,173.00,FACU,sm tree,W,full,CRMO2,,DI,native,FACU,FAC,FAC,,
Crataegus monogyna,CRAMON,Jacq.,0,,ONE-SEEDED HAWTHORN,Rosaceae,,(UPL),sm tree,W,advent,CRMO3,,DI,adventive,FACU,FACU,FACU,,
Crataegus phaenopyrum,CRAPHA,(L.f.) Medik.,0,,WASHINGTON HAWTHORN,Rosaceae,,FAC,sm tree,W,advent,CRPH,,DI,adventive,FAC,FAC,FAC,,
Crataegus pruinosa,CRAPRU,(H.L. Wendl.) K. Koch,2,,FROSTED HAWTHORN,Rosaceae,174.00,(UPL),sm tree,W,full,CRPR2,,DI,native,,,,,
Crataegus punctata,CRAPUN,Jacq.,3,,DOTTED HAWTHORN,Rosaceae,175.00,(UPL),sm tree,W,full,CRPU,,DI,native,,,,,
Crataegus sp.,CRATAE,L.,,,HAWTHORN,Rosaceae,,ND,sm tree,W,ND,CRATA,,DI,,,,,,
Crataegus succulenta,CRASUC,Schrad. ex Link,4,,FLESHY HAWTHORN,Rosaceae,176.00,(UPL),sm tree,W,full,CRSU5,,DI,native,,,,,
Crataegus uniflora,CRAUNI,Muenchh.,8,,DWARF HAWTHORN,Rosaceae,,(UPL),sm tree,W,full,CRUN,P,DI,native,,,,,
Crepis capillaris,CRECAP,(L.) Wallr.,0,,SMOOTH HAWK'S-BEARD,Asteraceae,,(UPL),forb,AN,advent,CRCA3,,DI,adventive,UPL,FACU,UPL,,
Crepis pulchra,CREPUL,L.,0,,HANDSOME HAWK'S-BEARD,Asteraceae,,(UPL),forb,AN,advent,CRPU3,,DI,adventive,,,,,
Crepis sp.,CREPIS,L.,,,HAWK'S BEARD,Asteraceae,,UPL,forb,AN,advent,CREPI,,DI,,,,,,
Crepis tectorum,CRETEC,L.,0,,NARROW-LEAF HAWK'S BEARD,Asteraceae,,(FACU),forb,AN,advent,CRTE3,,DI,adventive,,,,,
Crotalaria sagittalis,CROSAG,L.,0,,RATTLEBOX,Fabaceae,,(UPL),forb,AN,advent,CRSA4,,DI,adventive,,,,,
Crotolaria sagittalis,CROSAG,L.,0,,RATTLEBOX,Fabaceae,,,forb,AN,advent,,,,,,,,,DI
Croton capitatus,CROCAP,Michx.,0,,WOOLLY CROTON,Euphorbiaceae,,(UPL),forb,AN,advent,CRCA6,,DI,adventive,,,,,
Croton glandulosus,CROGLA ,L.,0,,NORTHERN CROTON,Euphorbiaceae,177.00,(UPL),forb,AN,full,CRGL2,E,DI,native,,,,,
Croton monanthogynus,CROMON,Michx.,0,,PRAIRIE-TEA,Euphorbiaceae,,(UPL),forb,AN,advent,CRMO6,,DI,adventive,,,,,
Croton sp.,CROTON,L.,,,CROTON,Euphorbiaceae,,UPL,forb,AN,ND,CROTO,,DI,,,,,,
Croton willdenowii,CROWIL,G.L. Webster,8,,WILDENOW'S CROTON,Euphorbiaceae,565.00,UPL,forb,AN,full,,,DI,native,,,,,
Crypsis schoenoides,CRYSCH,(L.) Lam.,0,,FALSE-TIMOTHY,Poaceae,,(FACW),grass,AN,advent,CRSC,,MO,adventive,FACU,FACU,OBL,,
Cryptotaenia canadensis,CRYCAN,(L.) DC.,3,,HONEWORT,Apiaceae,,FAC,forb,PE,shade,CRCA9,,DI,native,FAC,FAC,FAC,,
Cucumis melo,CUCMEL,L.,0,,MUSKMELON,Cucurbitaceae,,(FACU),vine,AN,advent,CUME,,DI,adventive,,,,,
Cucurbita foetidissima,CUCFOE,Kunth,0,,MISSOURI GOURD,Cucurbitaceae,,(UPL),vine,PE,advent,CUFO,,DI,adventive,,,,,
Cucurbita maxima,CUCMAX,Duchesne,0,,SQUASH,Cucurbitaceae,,(FACU),vine,AN,advent,CUMA3,,DI,adventive,,,,,
Cucurbita pepo,CUCPEP,L.,0,,PUMPKIN,Cucurbitaceae,,(FACU),forb,AN,advent,CUPE,,DI,adventive,,,,,
Cunila origanoides,CUNORI,(L.) Britton,6,,DITTANY,Lamiaceae,,(UPL),forb,PE,shade,CUOR,,DI,native,,,,,
Cuphea viscosissima,CUPVIS,Jacq.,3,,BLUE WAX-WEED,Lythraceae,,FAC-,forb,AN,full,CUVI,,DI,native,FAC,FACU,FACU,,
Cuscuta cephalanthi,CUSCEP,Engelm.,6,,BUTTONBUSH DODDER,Cuscutaceae,,(UPL),forb,AN,full,CUCE,,DI,native,,,,,
Cuscuta compacta,CUSCOM,Juss ex Choisy,8,,SESSILE DODDER,Cuscutaceae,,(UPL),forb,AN,full,CUCO2,X,DI,native,,,,,
Cuscuta coryli,CUSCOR,Engelm.,5,,HAZEL DODDER,Cuscutaceae,,(UPL),forb,AN,full,CUCO3,X,DI,native,,,,,
Cuscuta cuspidata,CUSCUS,Engelm.,8,,CUSPIDATE DODDER,Cuscutaceae,178.00,(FACW),forb,AN,full,CUCU2,E,DI,native,,,,,
Cuscuta epilinum,CUSEPI,Weihe,0,,FLAX DODDER,Cuscutaceae,,(FACU),forb,PE,advent,CUEP2,,DI,adventive,,,,,
Cuscuta epithymum,CUSEPI,L.,0,,CLOVER DODDER,Cuscutaceae,,(UPL),forb,AN,advent,CUEP,,DI,adventive,,,,,
Cuscuta epthymum,CUSEPI,L.,0,,CLOVER DODDER,Cuscutaceae,,,forb,AN,advent,,,,,,,,,DI
Cuscuta glomerata,CUSGLO,Choisy,9,,COMPOSITE DODDER,Cuscutaceae,,(FAC),forb,AN,full,CUGL3,T,DI,native,,,,,
Cuscuta gronovii,CUSGRO,Willd. ex Schulte,3,,COMMON DODDER,Cuscutaceae,,(FACW+),forb,AN,full,CUGR,,DI,native,,,,,
Cuscuta indecora,CUSIND,Choisy,8,,PRETTY DODDER,Cuscutaceae,179.00,(FAC),forb,AN,full,CUIN,E,DI,native,,,,,
Cuscuta pentagona,CUSPEN,Engelm.,3,syn,FIVE-ANGLED DODDER,Cuscutaceae,,(UPL),forb,AN,full,CUPE3,T,DI,native,,,,,
Cuscuta polygonorum,CUSPOL,Engelm.,5,,SMARTWEED DODDER,Cuscutaceae,,(UPL),forb,AN,full,CUPO,,DI,native,,,,,
Cuscuta sp.,CUSCUT,L.,,,DODDER,Cuscutaceae,,ND,forb,AN,ND,CUSCU,,DI,,,,,,
Cuscuta suaveloens,CUSSUA,Ser.,0,,ALFALFA DODDER,Cuscutaceae,,,forb,PE,advent,,,,,,,,,DI
Cuscuta suaveolens,CUSSUA,Ser.,0,,ALFALFA DODDER,Cuscutaceae,,(FACU),forb,PE,advent,CUSU,,DI,adventive,,,,,
Cycloloma atriplicifolium,CYCATR,(Spreng.) J.M. Coult.,0,,WINGED PIGWEED,Chenopodiaceae,,FACU-,forb,AN,advent,CYAT,,DI,adventive,FACU,FACU,FACU,,
Cymbalaria murabilis,CYMMUR,P. Gaertn., B. Mey. & Scherb.,0,,KENILWORTH-IVY,Scrophulariaceae,,,vine,PE,advent,,,,,,,,,DI
Cymbalaria muralis,CYMMUR,P. Gaertn.% B. Mey. & Scherb.,0,,KENILWORTH-IVY,Scrophulariaceae,,(FACU),forb,PE,advent,CYMU,,DI,adventive,,,,,
Cynodon dactylon,CYNDAC,(L.) Pers.,0,,BERMUDA GRASS,Poaceae,,FACU,grass,PE,advent,CYDA,,DI,adventive,FACU,FACU,FACU,,
Cynoglossum officinale,CYNOFF,L.,0,,GYPSY FLOWER,Boraginaceae,,(UPL),forb,BI,advent,CYOF,,MO,adventive,UPL,FACU,UPL,,
Cynoglossum sp.,CYNGLO,L.,,,HOUND'S TONGUE,Boraginaceae,,UPL,forb,ND,ND,CYNOG,,MO,,,,,,
Cynoglossum virginianum L. var. boreale,CYNVIRB,(Fernald) Cooperrider,5,syn,NORTHERN WILD COMFREY,Boraginaceae,,(UPL),forb,PE,shade,CYVIB,X,MO,native,,,,,
Cynoglossum virginianum var. boreale,CYNVIRB,(Fernald) Cooperrider,5,,NORTHERN WILD COMFREY,Boraginaceae,,,forb,PE,shade,,,,,,,,,MO
Cynoglossum virginianum var. virginianum,CYNVIRV,L.,5,,SOUTHERN WILD COMFREY,Boraginaceae,,(UPL),forb,PE,shade,CYVIV,,MO,native,,,,,
Cynosurus cristatus,CYNCRI,L.,0,,DOG'S-TAIL GRASS,Poaceae,,UPL,grass,PE,advent,CYCR,,DI,adventive,UPL,FAC,FAC,,
Cynosurus echinatus,CYNECH,L.,0,,LONG-AWNED DOG'S-TAIL GRASS,Poaceae,,(FACU),grass,AN,advent,CYEC,,MO,adventive,,,,,
Cyperus acuminatus,CYPACU,Torr. & Hook. ex Torr.,8,,PALE UMBRELLA-SEDGE,Cyperaceae,,OBL,sedge,AN,full,CYAC2,T,MO,native,OBL,OBL,OBL,,
Cyperus bipartitus,CYPBIP,Torr.,3,,UMBRELLA-SEDGE,Cyperaceae,180.00,FACW+,sedge,AN,full,CYBI6,,MO,native,FACW,OBL,FACW,,
Cyperus diandrus,CYPDIA,Torr.,7,,LOW UMBRELLA-SEDGE,Cyperaceae,181.00,FACW,sedge,AN,full,CYDI3,P,MO,native,FACW,FACW,OBL,,
Cyperus erythrorhizos,CYPERY,Muhl.,4,,RED-ROOTED UMBRELLA-SEDGE,Cyperaceae,,FACW+,sedge,AN,full,CYER2,,MO,native,FACW,OBL,OBL,,
Cyperus esculentus,CYPESC,L.,0,,YELLOW NUT-SEDGE,Cyperaceae,182.00,FACW,sedge,PE,full,CYES,,MO,native,FACW,FACW,FACW,,
Cyperus flavescens,CYPFLA,L.,3,,YELLOW UMBRELLA-SEDGE,Cyperaceae,183.00,OBL,sedge,AN,full,CYFL,,MO,native,OBL,OBL,OBL,,
Cyperus lancastriensis,CYPLAN,Porter ex A. Gray,4,,MANY-FLOWERED UMBRELLA-S.,Cyperaceae,,FACU,sedge,PE,full,CYLA3,X,MO,native,FAC,FAC,FAC,,
Cyperus lupulinus,CYPLUP,(Spreng.) Marcks,4,syn,SLENDER UMBRELLA-SEDGE,Cyperaceae,184.00,(UPL),sedge,PE,full,CYLU2,,MO,native,UPL,FACU,FACU,,
Cyperus odoratus,CYPODO,L.,4,syn,RUSTY UMBRELLA-SEDGE,Cyperaceae,185.00,FACW,sedge,AN,full,CYOD,,MO,native,FACW,FACW,OBL,,
Cyperus refractus,CYPREF,Engelm. ex Boeck,6,,REFLEXED UMBRELLA-SEDGE,Cyperaceae,186.00,FACU+,sedge,PE,full,CYRE3,E,MO,native,FACU,FACU,,,
Cyperus retrofractus,CYPRTF,(L.) Torr.,4,syn,ROUGH UMBRELLA-SEDGE,Cyperaceae,,(UPL),sedge,PE,full,CYRE4,E,MO,native,UPL,UPL,UPL,,
Cyperus schweinitzii,CYPSCH,Torr.,10,,SCHWEINITZ'S UMBRELLA-SEDGE,Cyperaceae,,FACU,sedge,PE,full,CYSC3,T,MO,native,FACU,FACU,FACU,,
Cyperus sp.,CYPERU,L.,,,UMBRELLA-SEDGE,Cyperaceae,,ND,sedge,ND,full,CYPER,,MO,,,,,,
Cyperus squarrosus,CYPSQU,L.,3,,AWNED UMBRELLA-SEDGE,Cyperaceae,187.00,FACW+,sedge,AN,full,CYSQ,,MO,native,FACW,OBL,OBL,,
Cyperus strigosus,CYPSTR,L.,1,,STRAW-COLORED UMBRELLA-S.,Cyperaceae,,FACW,sedge,PE,full,CYST,,MO,native,FACW,FACW,FACW,,
Cypripedium acaule,CYPACA,Aiton,8,,MOCCASIN-FLOWER,Orchidaceae,,FACU,forb,PE,partial,CYAC3,,MO,native,FACU,FACW,FACW,,
Cypripedium candidum,CYPCAN,Muhl. ex Willd.,9,,WHITE LADY'S-SLIPPER,Orchidaceae,,OBL,forb,PE,partial,CYCA5,E,MO,native,OBL,OBL,OBL,,
Cypripedium parviflorum Salisb. var. pubescens,CYPPRPU,(Willd.) O.W. Knight,7,syn,LARGE YELLOW LADY'S-SLIPPER,Orchidaceae,,FAC+,forb,PE,partial,CYPAP3,,MO,native,,,,,
Cypripedium parviflorum var. parviflorum,CYPPRPA,Salisb.,10,syn,SMALL YELLOW LADY'S-SLIPPER,Orchidaceae,,FACW-,forb,PE,partial,CYPAP4,E,MO,native,FACW,FACW,FAC,,
Cypripedium parviflorum var. pubescens,CYPPRPU,(Willd.) O.W. Knight,7,,LARGE YELLOW LADY'S-SLIPPER,Orchidaceae,,,forb,PE,partial,,,,,,,,,MO
Cypripedium reginae,CYPREG,Walter,10,,SHOWY LADY'S-SLIPPER,Orchidaceae,,FACW,forb,PE,partial,CYRE6,T,MO,native,FACW,FACW,FACW,,
Cypripedium sp.,CYPRIP,L.,,,LADY'S-SLIPPER,Orchidaceae,,ND,forb,PE,partial,CYPRI,,MO,,,,,,
Cystopteris bulbifera,CYSBUL,(L.) Bernh.,7,,BULBLET FERN,Dryopteridaceae,,FAC,fern,PE,shade,CYBU3,,SVP,native,FAC,FACW,FACW,,
Cystopteris fragilis,CYSFRA,(L.) Bernh.,7,syn,BRITTLE BLADDER FERN,Dryopteridaceae,,FACU,fern,PE,shade,CYFR2,X,SVP,native,FACU,FACU,FACU,,
Cystopteris protrusa,CYSPRO,(Weath.) Blasdell,5,syn,LOWLAND BLADDER FERN,Dryopteridaceae,,(UPL),fern,PE,shade,CYPR4,,SVP,native,FAC,FACW,FACU,,
Cystopteris sp.,CYSTOP,Bernh.,,,BLADDER FERN,Dryopteridaceae,,ND,fern,PE,shade,CYSTO,,SVP,,,,,,
Cystopteris tennesseensis,CYSTNN,Shaver,6,,TENNESSEE BLADDER FERN,Dryopteridaceae,,(UPL),fern,PE,shade,CYTE3,P,SVP,native,,,,,
Cystopteris tenuis,CYSTEN,(Michx.) Desv.,5,syn,UPLAND BRITTLE BLADDER FERN,Dryopteridaceae,,(UPL),fern,PE,shade,CYTE7,,SVP,native,FACU,FACU,FACU,syn. Cystopteris fragilis var. mackayi,
Dactylis glomerata,DACGLO,L.,0,,ORCHARD GRASS,Poaceae,,FACU,grass,PE,advent,DAGL,,MO,adventive,FACU,FACU,FACU,,
Dalea leporina,DALLEP,(Aiton) Bullock,0,,HAIR'S-FOOT DALEA,Fabaceae,,(FACU),forb,AN,advent,DALE3,,DI,adventive,UPL,FACU,UPL,,
Dalea purpurea,DALPUR,Vent.,9,,PURPLE PRAIRIE-CLOVER,Fabaceae,,(UPL),forb,PE,full,DAPU5,X,MO,native,,,,,
Dalibarda repens,DALREP,L.,8,,ROBIN-RUN-AWAY,Rosaceae,,FAC,forb,PE,shade,DARE,E,DI,native,FAC,,FAC,,
Danthonia compressa,DANCOM,Austin ex Peck,4,,FLATTENED WILD OAT GRASS,Poaceae,,FACU-,grass,PE,shade,DACO,,MO,native,FACU,FACU,FACU,,
Danthonia sp.,DANTHO,DC.,4,,OAT GRASS,Poaceae,,ND,grass,PE,shade,DANTH,,MO,,,,,,
Danthonia spicata,DANSPI,(L.) P. Beauv. ex Roem. & Schult.,4,,POVERTY OAT GRASS,Poaceae,,(UPL),grass,PE,shade,DASP2,,MO,native,,,,,
Daphne mezereum,DAPMEZ,L.,0,,MEZEREON,Thymelaceae,,(FAC),shrub,PE,advent,DAME3,,DI,adventive,,,FACU,,
Dasistoma macrophylla,DASMAC,(Nutt.) Raf.,5,,MULLEIN-FOXGLOVE,Scrophulariaceae,,FACU,forb,PE,shade,DAMA,,DI,native,FACU,FACU,FACU,,
Datura stramonium,DATSTR,L.,0,,JIMSONWEED,Solanaceae,,(UPL),forb,AN,advent,DAST,,DI,adventive,,,,,
Datura wrightii,DATWRI,Regel,0,,INDIAN APPLE,Solanaceae,,(FACU-),forb,PE,advent,DAWR2,,DI,adventive,FACU,FACU,FACU,,
Daucus carota,DAUCAR,L.,0,,QUEEN-ANNE'S-LACE,Apiaceae,,(UPL),forb,BI,advent,DACA6,,DI,adventive,UPL,UPL,UPL,,
Decodon verticillatus,DECVER,(L.) Elliott,6,,SWAMP LOOSESTRIFE,Lythraceae,188.00,OBL,forb,PE,full,DEVE,,DI,native,OBL,OBL,OBL,,
Delphinium ambiguum,DELAMB,L.,0,syn,ROCKET LARKSPUR,Ranunculaceae,,(UPL),forb,AN,advent,COAJ,,DI,adventive,,,,,
Delphinium exaltatum,DELEXA,Aiton,7,,TALL LARKSPUR,Ranunculaceae,,(FACU),forb,PE,shade,DEEX,P,DI,native,,,,,
Delphinium sp.,DELPHI,L.,,,LARKSPUR,Ranunculaceae,,ND,forb,ND,ND,DELPH,,DI,,,,,,
Delphinium tricorne,DELTRI,Michx.,4,,DWARF LARKSPUR,Ranunculaceae,,(UPL),forb,PE,shade,DETR,,DI,native,,,,,
Dennstaedtia punctilobula,DENPUN,(Michx.) T. Moore,6,,HAY-SCENTED FERN,Dennstaedtiaceae,,UPL,fern,PE,shade,DEPU2,,SVP,native,FACU,UPL,UPL,,
Deschampsia cespitosa,DESCES,(L.) P. Beauv.,10,,TUFTED HAIRGRASS,Poaceae,,FACW,grass,PE,full,DECE,P,MO,native,FACW,FACW,FACW,note difference in spelling of epithet,
Deschampsia flexuosa,DESFLE,(L.) Trin.,8,,CRINKLED HAIRGRASS,Poaceae,,(UPL),grass,PE,full,DEFL,P,MO,native,FACU,,,,
Deschampsia sp.,DESCHA,P. Beauv.,,,HAIRGRASS,Poaceae,,ND,grass,PE,full,DESCH,,MO,,,,,,
Descurainia pinnata (Walt.) Britt. var. brachycarpa,DESPINB,(Richardson) Fernald,8,,SOUTHERN TANSY-MUSTARD,Brassicaceae,189.00,(UPL),forb,AN,full,DEPIB,P,DI,native,,,,,
Descurainia pinnata var. brachycarpa,DESPINB,(Richardson) Fernald,8,,TANSY-MUSTARD,Brassicaceae,,,forb,AN,full,,,,,,,,,DI
Descurainia pinnata var. pinnata,DESPINP,(Walt.) Britt.,0,,WESTERN TANSY-MUSTARD,Brassicaceae,190.00,(UPL),forb,AN,advent,DEPIP3,,DI,adventive,,,,,
Descurainia sophia,DESSOP,(L.) Webb ex Prantl,0,,HERB SOPHIA,Brassicaceae,,(UPL),forb,AN,advent,DESO2,,DI,adventive,,,,,
Descurainia sp.,DESCUR,Webb & Bethel,,,TANSY-MUSTARD,Brassicaceae,,UPL,forb,AN,ND,DESCU,,DI,,,,,,
Desmanthus illinoensis,DSMILL,(Michx.) MacMill.,3,,PRAIRIE BUNDLE-FLOWER,Mimosaceae,191.00,FAC,forb,PE,full,DEIL,,DI,native,FAC,FACU,FACU,,
Desmodium canadense,DESCNA,(L.) DC.,4,,CANADA TICK-TREFOIL,Fabaceae,,FAC,forb,PE,full,DECA7,,DI,native,FAC,FACU,FAC,,
Desmodium canescens,DESCNE,(L.) DC.,4,,HOARY TICK-TREFOIL,Fabaceae,,(UPL),forb,PE,full,DECA8,,DI,native,,,,,
Desmodium ciliare,DESCIL,(Muhl.) DC.,6,syn,LITTLE-LEAVED TICK-TREFOIL,Fabaceae,,(UPL),forb,PE,full,DECI,,DI,native,,,,,
Desmodium cuspidatum,DESCUS,(Muhl. ex Willd.) DC. ex Loudon,4,,BIG TICK-TREFOIL,Fabaceae,,(UPL),forb,PE,partial,DECU,,DI,native,,,,,
Desmodium glabellum,DESGLA,(Michx.) DC.,6,,HAIRY TICK-TREFOIL,Fabaceae,192.00,(UPL),forb,PE,shade,DEGL4,E,DI,native,,,,,
Desmodium glutinosum,DESGLU,(Muhl. ex Willd.) A.W. Wood,5,,CLUSTERED-LEAVED TICK-TREFOIL,Fabaceae,,(UPL),forb,PE,shade,DEGL5,,DI,native,,,,,
Desmodium illinoense,DESILL,A. Gray,9,,PRAIRIE TICK-TREFOIL,Fabaceae,,(UPL),forb,PE,full,DEIL2,X,DI,native,,,,,
Desmodium laevigatum,DESLAE,(Nutt.) DC.,5,,SMOOTH TICK-TREFOIL,Fabaceae,,(UPL),forb,PE,shade,DELA2,,DI,native,,,,,
Desmodium marilandicum,DESMAR,(L.) DC.,5,,MARYLAND TICK-TREFOIL,Fabaceae,,(UPL),forb,PE,partial,DEMA2,,DI,native,,,,,
Desmodium nudiflorum,DESNUD,(L.) DC.,5,,NAKED TICK-TREFOIL,Fabaceae,,(UPL),forb,PE,shade,DENU4,,DI,native,,,,,
Desmodium obtusum,DESOBT,(Muhl. ex Willd.) DC.,7,syn,STIFF TICK-TREFOIL,Fabaceae,,(FACU),forb,PE,full,DEOB5,,DI,native,,,,,
Desmodium paniculatum,DESPAN,(L.) DC.,3,,SHOWY TICK-TREFOIL,Fabaceae,,UPL,forb,PE,shade,DEPA6,,DI,native,FACU,FACU,FACU,,
Desmodium pauciflorum,DESPAU,(Nutt.) DC.,6,,FEW-FLOWERED TICK-TREFOIL,Fabaceae,,(FACU),forb,PE,shade,DEPA7,,DI,native,,,,,
