DiamID,Diam_Code,Diam_Desc
Col1,C0,ShrubClump
Col2,C1,D0to1
Col3,C2,D1to2_5 
Col4,C3,D2_5to5 
Col5,C4,D5to10 
Col6,C5,D10to15 
Col7,C6,D15to20 
Col8,C7,D20to25
Col9,C8,D25to30
Col10,C9,D30to35
Col11,C10,D35to40 
Col12,Big,Dgt40 
