diam_code,diam_desc
C0,ShrubClump 
C1,D0to1 
C2,D1to2_5 
C3,D2_5to5 
C4,D5to10 
C5,D15to20 
C6,D15to20 
C7,D20to25 
C8,D25to30 
C9,D30to35 
C10,D35to40 
BIG,Dgt40 
