SpeciesCode,WoodySpecies
CORNIT,Corispermum nitidum
CORISP,Corispermum sp.
CORALT,Cornus alternifolia
CORAMO,Cornus amomum
CORCAN,Cornus canadensis
CORDRU,Cornus drummondii
CORFLO,Cornus florida
COROBL,Cornus obliqua
CORRAC,Cornus racemosa
CORRUG,Cornus rugosa
CORSER,Cornus sericea
CORNUS,Cornus sp.
CORVAR,Coronilla varia
CORDID,Coronopus didymus
CORAUR,Corydalis aurea
CORFLA,Corydalis flavula
CORSEM,Corydalis sempervirens
CORYDA,Corydalis sp.
CORAME,Corylus americana
CORCOR,Corylus cornuta
CORYLU,Corylus sp.
COSBIP,Cosmos bipinnatus
COTCOG,Cotinus coggygria
COTPYR,Cotoneaster pyracantha
CRABRA,Crataegus brainerdii
CRACAL,Crataegus calpodendron
CRACHR,Crataegus chrysocarpa
CRACOC,Crataegus coccinea
CRACRU,Crataegus crus-galli
CRAFLA,Crataegus flabellata
CRAINT,Crataegus intricata
CRAMOL,Crataegus mollis
CRAMON,Crataegus monogyna
CRAPHA,Crataegus phaenopyrum
CRAPRU,Crataegus pruinosa
CRAPUN,Crataegus punctata
CRATAE,Crataegus sp.
CRASUC,Crataegus succulenta
CRAUNI,Crataegus uniflora
CRECAP,Crepis capillaris
CREPUL,Crepis pulchra
CREPIS,Crepis sp.
CRETEC,Crepis tectorum
CROSAG,Crotalaria sagittalis
CROSAG,Crotolaria sagittalis
CROCAP,Croton capitatus
CROGLA,Croton glandulosus
CROMON,Croton monanthogynus
CROTON,Croton sp.
CROWIL,Croton willdenowii
CRYSCH,Crypsis schoenoides
CRYCAN,Cryptotaenia canadensis
CUCMEL,Cucumis melo
CUCFOE,Cucurbita foetidissima
CUCMAX,Cucurbita maxima
CUCPEP,Cucurbita pepo
CUNORI,Cunila origanoides
CUPVIS,Cuphea viscosissima
CUSCEP,Cuscuta cephalanthi
CUSCOM,Cuscuta compacta
CUSCOR,Cuscuta coryli
CUSCUS,Cuscuta cuspidata
CUSEPI,Cuscuta epilinum
CUSEPI,Cuscuta epithymum
CUSEPI,Cuscuta epthymum
CUSGLO,Cuscuta glomerata
CUSGRO,Cuscuta gronovii
CUSIND,Cuscuta indecora
CUSPEN,Cuscuta pentagona
CUSPOL,Cuscuta polygonorum
CUSCUT,Cuscuta sp.
CUSSUA,Cuscuta suaveloens
CUSSUA,Cuscuta suaveolens
CYCATR,Cycloloma atriplicifolium
CYMMUR,Cymbalaria murabilis
CYMMUR,Cymbalaria muralis
CYNDAC,Cynodon dactylon
CYNOFF,Cynoglossum officinale
CYNGLO,Cynoglossum sp.
CYNVIRB,Cynoglossum virginianum L. var. boreale
CYNVIRB,Cynoglossum virginianum var. boreale
CYNVIRV,Cynoglossum virginianum var. virginianum
CYNCRI,Cynosurus cristatus
CYNECH,Cynosurus echinatus
CYPACU,Cyperus acuminatus
CYPBIP,Cyperus bipartitus
CYPDIA,Cyperus diandrus
CYPERY,Cyperus erythrorhizos
CYPESC,Cyperus esculentus
CYPFLA,Cyperus flavescens
CYPLAN,Cyperus lancastriensis
CYPLUP,Cyperus lupulinus
CYPODO,Cyperus odoratus
CYPREF,Cyperus refractus
CYPRTF,Cyperus retrofractus
CYPSCH,Cyperus schweinitzii
CYPERU,Cyperus sp.
CYPSQU,Cyperus squarrosus
CYPSTR,Cyperus strigosus
CYPACA,Cypripedium acaule
CYPCAN,Cypripedium candidum
CYPPRPU,Cypripedium parviflorum Salisb. var. pubescens
CYPPRPA,Cypripedium parviflorum var. parviflorum
CYPPRPU,Cypripedium parviflorum var. pubescens
CYPREG,Cypripedium reginae
CYPRIP,Cypripedium sp.
CYSBUL,Cystopteris bulbifera
CYSFRA,Cystopteris fragilis
CYSPRO,Cystopteris protrusa
CYSTOP,Cystopteris sp.
CYSTNN,Cystopteris tennesseensis
CYSTEN,Cystopteris tenuis
DACGLO,Dactylis glomerata
DALLEP,Dalea leporina
DALPUR,Dalea purpurea
DALREP,Dalibarda repens
DANCOM,Danthonia compressa
DANTHO,Danthonia sp.
DANSPI,Danthonia spicata
DAPMEZ,Daphne mezereum
DASMAC,Dasistoma macrophylla
DATSTR,Datura stramonium
DATWRI,Datura wrightii
DAUCAR,Daucus carota
DECVER,Decodon verticillatus
DELAMB,Delphinium ambiguum
DELEXA,Delphinium exaltatum
DELPHI,Delphinium sp.
DELTRI,Delphinium tricorne
DENPUN,Dennstaedtia punctilobula
DESCES,Deschampsia cespitosa
DESFLE,Deschampsia flexuosa
DESCHA,Deschampsia sp.
DESPINB,Descurainia pinnata (Walt.) Britt. var. brachycarpa
DESPINB,Descurainia pinnata var. brachycarpa
DESPINP,Descurainia pinnata var. pinnata
DESSOP,Descurainia sophia
DESCUR,Descurainia sp.
DSMILL,Desmanthus illinoensis
DESCNA,Desmodium canadense
DESCNE,Desmodium canescens
DESCIL,Desmodium ciliare
DESCUS,Desmodium cuspidatum
DESGLA,Desmodium glabellum
DESGLU,Desmodium glutinosum
DESILL,Desmodium illinoense
DESLAE,Desmodium laevigatum
DESMAR,Desmodium marilandicum
DESNUD,Desmodium nudiflorum
DESOBT,Desmodium obtusum
DESPAN,Desmodium paniculatum
DESPAU,Desmodium pauciflorum
DESROT,Desmodium rotundifolium
DESSES,Desmodium sessilifolium
DESMOD,Desmodium sp.
DESVIR,Desmodium viridiflorum
DIAARM,Dianthus armeria
DIABAR,Dianthus barbatus
DIACAR,Dianthus caryophyllus
DIADEL,Dianthus deltoides
DIANTH,Dianthus sp.
DIAAME,Diarrhena americana
DIAOBO,Diarrhena obovata
DIARRH,Diarrhena sp.
DICCAN,Dicentra canadensis
DICCUC,Dicentra cucullaria
DICEXI,Dicentra eximia
DICENT,Dicentra sp.
DICBOR,Dichanthelium boreale
DICBOS,Dichanthelium boscii
DICCLA,Dichanthelium clandestinum
DICCOL,Dichanthelium columbianum
DICCOM,Dichanthelium commutatum
DICDEP,Dichanthelium depauperatum
DICDIC,Dichanthelium dichotomum
DICIMP,Dichanthelium implicatum
DICLAN,Dichanthelium lanuginosum
DICLAT,Dichanthelium latifolium
DICLAX,Dichanthelium laxiflorum
DICLEI,Dichanthelium leibergii
DICLIN,Dichanthelium lindheimeri
DICLINE,Dichanthelium linearifolium
DICMER,Dichanthelium meridionale
DICMIC,Dichanthelium microcarpon
DICOLI,Dichanthelium oligosanthes
DICPER,Dichanthelium perlongum
DICPOL,Dichanthelium polyanthes
DICPRA,Dichanthelium praecocius
DICSCO,Dichanthelium scoparium
DICHAN,Dichanthelium sp.
DICSPH,Dichanthelium sphaerocarpon
DICSPR,Dichanthelium spretum
DICVIL,Dichanthelium villosissimum
DICYAD,Dichanthelium yadkinense
DIELON,Diervilla lonicera
DIGGRA,Digitalis grandiflora
DIGLAN,Digitalis lanata
DIGLUT,Digitalis lutea
DIGPUR,Digitalis purpurea
DIGITI,Digitalis sp.
DIGFIL,Digitaria filiformis
DIGISC,Digitaria ischaemum
DIGSAN,Digitaria sanguinalis
DIGITA,Digitaria sp.
DIGLAN,Digitialis lanata
DIODIA,Diodia sp.
DIOTER,Diodia teres
DIOVIR,Diodia virginiana
DIOBAT,Dioscorea batatas
DIOQUA,Dioscorea quaternata
DIOSCO,Dioscorea sp.
DIOVIL,Dioscorea villosa
DSPVIR,Diospyros virginiana
DIPDIG,Diphasiastrum digitatum
DIPHAS,Diphasiastrum sp.
DIPTRI,Diphasiastrum tristachyum
DIPMUR,Diplotaxis muralis
DIPLOT,Diplotaxis sp.
DIPTEN,Diplotaxis tenuifolia
DIPSAT,Dipsacas sativus
DIPFUL,Dipsacus fullonum
DIPLAC,Dipsacus laciniatus
DIPSAT,Dipsacus sativus
DIPSAC,Dipsacus sp.
DIRPAL,Dirca palustris
DODMEA,Dodecatheon meadia
DOEINF,Doellingeria infirma
DOELLI,Doellingeria sp.
DOEUMB,Doellingeria umbellata
DOLLAB,Dolichos lablab
DRABRA,Draba brachycarpa
DRACUN,Draba cuneifolia
DRAREP,Draba reptans
DRABA,Draba sp.
DRAPAR,Dracocephalium parviflorum
DRAPAR,Dracocephalum parviflorum
DROINT,Drosera intermedia
DROROT,Drosera rotundifolia
DROSER,Drosera sp.
DRYCAR,Dryopteris carthusiana
DRYCEL,Dryopteris celsa
DRYCLI,Dryopteris clintoniana
DRYCRI,Dryopteris cristata
DRYFIL,Dryopteris filix-mas
DRYGOL,Dryopteris goldiana
DRYINT,Dryopteris intermedia
DRYMAR,Dryopteris marginalis
DRYOPT,Dryopteris sp.
DUCIND,Duchesnea indica
DULARU,Dulichium arundinaceum
DYSPAP,Dyssodia papposa
ECHPUR,Echinacea purpurea
ECHCRU,Echinochloa crus-galli
ECHMUR,Echinochloa muricata
ECHINO,Echinochloa sp.
ECHWAL,Echinochloa walteri
ECHLOB,Echinocystis lobata
ECHBER,Echinodorus berteroi
ECHVUL,Echium vulgare
ECLPRO,Eclipta prostrata
ELAANG,Elaeagnus angustifolia
ELAMUL,Elaeagnus multiflora
ELAEAG,Elaeagnus sp.
ELAUMB,Elaeagnus umbellata
ELATRI,Elatine triandra
ELEACI,Eleocharis acicularis
ELECOM,Eleocharis compressa
ELEELL,Eleocharis elliptica
ELEENG,Eleocharis engelmannii
ELEERY,Eleocharis erythropoda
ELEFLAO,Eleocharis flavescens (Poir.) Urban var. olivacea
ELEFLAO,Eleocharis flavescens var. olivacea
ELEGEN,Eleocharis geniculata
ELEINT,Eleocharis intermedia
ELEOBT,Eleocharis obtusa
ELEOVA,Eleocharis ovata
ELEPAL,Eleocharis palustris
ELEPAR,Eleocharis parvula
ELEQUA,Eleocharis quadrangulata
ELEQUI,Eleocharis quinqueflora
ELEROB,Eleocharis robbinsii
ELEROS,Eleocharis rostellata
ELEOCH,Eleocharis sp.
ELETENV,Eleocharis tenuis (Willd.) Schult. var. verrucosa
ELETENT,Eleocharis tenuis var. tenuis
ELETENV,Eleocharis tenuis var. verrucosa
ELEWOL,Eleocharis wolfii
ELPCAR,Elephantopus carolinianus
ELEIND,Eleusine indica
ELLNYC,Ellisia nyctelea
ELOCAN,Elodea canadensis
ELONUT,Elodea nuttallii
ELODEA,Elodea sp.
ELYCAN,Elymus canadensis
ELYHYS,Elymus hystrix
ELYMAC,Elymus macgregorii
ELYRIP,Elymus riparius
ELYMUS,Elymus sp.
ELYTRA,Elymus trachycaulus
ELYVIL,Elymus villosus
ELYVIR,Elymus virginicus
ELYREP,Elytrigia repens
ELYSMI,Elytrigia smithii
ELYTRI,Elytrigia sp.
EPIVIR,Epifagus virginiana
EPIREP,Epigaea repens
EPIANG,Epilobium angustifolium
EPICIL,Epilobium ciliatum
EPICOL,Epilobium coloratum
EPIHIR,Epilobium hirsutum
EPILEP,Epilobium leptophyllum
EPIPAR,Epilobium parviflorum
EPILOB,Epilobium sp.
EPISTR,Epilobium strictum
EPIHEL,Epipactis helleborine
EQUARV,Equisetum arvense
EQUFLU,Equisetum fluviatile
EQUHYE,Equisetum hyemale
EQULAE,Equisetum laevigatum
EQUISE,Equisetum sp.
EQUSYL,Equisetum sylvaticum
EQUVAR,Equisetum variegatum
ERACAP,Eragrostis capillaris
ERACIL,Eragrostis cilianensis
ERACUR,Eragrostis curvula
ERAFRA,Eragrostis frankii
ERAHYP,Eragrostis hypnoides
ERAMIN,Eragrostis minor
ERAPEC,Eragrostis pectinacea
ERAPIL,Eragrostis pilosa
ERIGRO,Eragrostis sp.
ERASPE,Eragrostis spectabilis
ERAHYE,Eranthis hyemalis
ERAHYE,Eranthus hyemalis
EREHIE,Erechtites hieracifolia
ERITET,Erica tetralix
ERIBUL,Erigenia bulbosa
ERIANN,Erigeron annuus
ERIPHI,Erigeron philadelphicus
ERIPUL,Erigeron pulchellus
ERIGER,Erigeron sp.
ERISTR,Erigeron strigosus
ERIAQU,Eriocaulon aquaticum
ERIOGR,Eriophorum gracile
ERIOPH,Eriophorum sp.
ERIVRG,Eriophorum virginicum
ERIVRD,Eriophorum viridicarinatum
EROCIC,Erodium cicutarium
EROVER,Erophila verna
ERUGAL,Erucastrum gallicum
ERYYUC,Eryngium yuccifolium
ERYASPA,Erysimum aspera var. aspera
ERYCAP,Erysimum capitatum
ERYCHE,Erysimum cheiranthoides
ERYINC,Erysimum inconspicuum
ERYREP,Erysimum repandum
ERYSIM,Erysimum sp.
ERYALB,Erythronium albidum
ERYAME,Erythronium americanum
ERYROS,Erythronium rostratum
ERYTHR,Erythronium sp.
ESCCAL,Eschscholzia californica
EUOALA,Euonymus alatus
EUOAME,Euonymus americanus
EUOATR,Euonymus atropurpureus
EUOEUR,Euonymus europaeus
EUOFOR,Euonymus fortunei
EUOOBO,Euonymus obovatus
EUONYM,Euonymus sp.
EUPALB,Eupatorium album
EUPALT,Eupatorium altissimum
EUPARO,Eupatorium aromaticum
EUPCOE,Eupatorium coelestinum
EUPFIS,Eupatorium fistulosum
EUPGOD,Eupatorium godfreyanum
EUPHYS,Eupatorium hyssopifolium
EUPINC,Eupatorium incarnatum
EUPMAC,Eupatorium maculatum
EUPPER,Eupatorium perfoliatum
EUPPUR,Eupatorium purpureum
EUPROT,Eupatorium rotundifolium
EUPRUG,Eupatorium rugosum
EUPSER,Eupatorium serotinum
EUPSES,Eupatorium sessilifolium
EUPTOR,Eupatorium sp.
EUPHCM,Euphorbia commutata
EUPHCO,Euphorbia corollata
EUPCYA,Euphorbia cyathophora
EUPHCY,Euphorbia cyparissias
EUPHDE,Euphorbia dentata
EUPHES,Euphorbia esula
EUPFAL,Euphorbia falcata
EUPHEL,Euphorbia helioscopia
EUPHHU,Euphorbia humistrata
EUPHMA,Euphorbia maculata
EUPHMR,Euphorbia marginata
EUPHNU,Euphorbia nutans
EUPHOB,Euphorbia obtusata
EUPHPE,Euphorbia peplus
EUPHPL,Euphorbia platyphyllos
EUPHPO,Euphorbia polygonifolia
EUPPRO,Euphorbia prostrata
EUPHPU,Euphorbia purpurea
EUPHSE,Euphorbia serpens
EUPHOR,Euphorbia sp.
EUPHVE,Euphorbia vermiculata
EURDIV,Eurybia divaricata
EURMAC,Eurybia macrophylla
EURSCH,Eurybia schreberi
EURYBI,Eurybia sp.
EUBSUR,Eurybia surculosa
EUTGRA,Euthamia graminifolia
EUTREM,Euthamia remota
EUTHAM,Euthamia sp.
FAGESC,Fagopyrum esculentum
FAGGRA,Fagus grandifolia
FALCLI,Fallopia cilinodis
FALCON,Fallopia convolvulus
FALJAP,Fallopia japonica
FALSAC,Fallopia sachalinensis
FALSCA,Fallopia scandens
FALLOP,Fallopia sp.
FESELA,Festuca elatior
FESOVI,Festuca ovina
FESPRA,Festuca pratensis
FESRUB,Festuca rubra
FESTUC,Festuca sp.
FESSUB,Festuca subverticillata
FILGER,Filago germanica
FILRUB,Filipendula rubra
FILIPE,Filipendula sp.
FILULM,Filipendula ulmaria
FIMAUT,Fimbristylis autumnalis
FLOPRO,Floerkea proserpinacoides
FOEVUL,Foeniculum vulgare
FORINT,Forsythia x intermedia
FRACHI,Fragaria chiloensis
FRAGAR,Fragaria sp.
FRAVESA,Fragaria vesca L. var. americana
FRAVESV,Fragaria vesca var. vesca
FRAVIR,Fragaria virginiana
FRACAR,Frasera caroliniensis
FRAAME,Fraxinus americana
FRANIG,Fraxinus nigra
FRAPEN,Fraxinus pennsylvanica
FRAPRO,Fraxinus profunda
FRAQUA,Fraxinus quadrangulata
FRAXIN,Fraxinus sp.
FROFLO,Froelichia floridana
FROGRA,Froelichia gracilis
FROELI,Froelichia sp.
FUMOFF,Fumaria officinalis
GAIPUL,Gaillardia pulchella
GALVOL,Galactia volubilis
GALNIV,Galanthus nivalis
GALURC,Galax urceolata
GALLAD,Galeopsis ladanum
GALEOP,Galeopsis sp.
GALTET,Galeopsis tetrahit
GALPED,Galim pedemontanum
GALPAR,Galinsoga parviflora
GALQUA,Galinsoga quadriradiata
GALINS,Galinsoga sp.
GALAPA,Galium aparine
GALASP,Galium asprellum
GALBOR,Galium boreale
GALCIR,Galium circaezans
GALCON,Galium concinnum
GALLAB,Galium labradoricum
GALLAN,Galium lanceolatum
GALMOL,Galium molluga
GALMOL,Galium mollugo
GALOBT,Galium obtusum
GALODO,Galium odoratum
GALPAL,Galium palustre
GALPED,Galium pedemontanum
GALPIL,Galium pilosum
GALIUM,Galium sp.
GALTIN,Galium tinctorium
GALTFI,Galium trifidum
GALTFL,Galium triflorum
GALVER,Galium verum
GAUHIS,Gaultheria hispidula
GAUPRO,Gaultheria procumbens
GAULTH,Gaultheria sp.
GAUBIE,Gaura biennis
GAULON,Gaura longiflora
GAUPAR,Gaura parviflora
GAYBAC,Gaylussacia baccata
GENTIN,Genista tinctoria
GENAND,Gentiana andrewsii
GENCLA,Gentiana clausa
GENFLA,Gentiana flavida
GENPUB,Gentiana puberulenta
GENSAP,Gentiana saponaria
GENTIA,Gentiana sp.
GENVIL,Gentiana villosa
GENQUI,Gentianella quinquefolia
GENCRI,Gentianopsis crinita
GENPRO,Gentianopsis procera
GENTIO,Gentianopsis sp.
GERBIC,Geranium bicknellii
GERCAR,Geranium carolinianum
GERCOL,Geranium columbinum
GERDIS,Geranium dissectum
GERMAC,Geranium maculatum
GERMOL,Geranium molle
GERPUS,Geranium pusillum
GERROB,Geranium robertianum
GERSAN,Geranium sanguineum
GERANI,Geranium sp.
GERPUS,Gernaium pusillum
GERSAN,Gernaium sanguineum
GEUALE,Geum aleppicum
GEUCAN,Geum canadense
GEULAC,Geum laciniatum
GEURIV,Geum rivale
GEUM,Geum sp.
GEUVER,Geum vernum
GEUVIR,Geum virginianum
GILCAP,Gilia capitata
GILRUB,Gilia rubra
GLEHED,Glechoma hederacea
GLETRI,Gleditsia triacanthos
GLYACU,Glyceria acutiflora
GLYBOR,Glyceria borealis
GLYCAN,Glyceria canadensis
GLYGRA,Glyceria grandis
GLYMEL,Glyceria melicaria
GLYSEP,Glyceria septentrionalis
GLYCER,Glyceria sp.
GLYSTR,Glyceria striata
GLYMAX,Glycine max
GNAMAC,Gnaphalium macounii
GNAOBT,Gnaphalium obtusifolium
GNAPUR,Gnaphalium purpureum
GNAPHA,Gnaphalium sp.
GNAULI,Gnaphalium uliginosum
GNAPHA,Gnaphallium sp.
GOMGLO,Gomphrena globosa
GOOPUB,Goodyera pubescens
GOODYE,Goodyera sp.
GOOTES,Goodyera tesselata
GRANEG,Gratiola neglecta
GRATIO,Gratiola sp.
GRAVIR,Gratiola virginiana
GRAVIS,Gratiola viscidula
GRILAN,Grindelia lanceolata
GRINDE,Grindelia sp.
GRISQU,Grindelia squarrosa
GYMAPP,Gymnocarpium appalachianum
GYMDRY,Gymnocarpium dryopteris
GYMNOC,Gymnocarpium sp.
GYMDIO,Gymnocladus dioicus
GYMAMB,Gymnopogon ambiguus
GYPMUR,Gypsophila muralis
GYPPAN,Gypsophila paniculata
GYPSCO,Gypsophila scorzonerifolia
HACDEF,Hackelia deflexa
HACKEL,Hackelia sp.
HACVIR,Hackelia virginiana
HALCAR,Halesia carolina
HAMVIR,Hamamelis virginiana
HEDHIS,Hedeoma hispida
HEDPUL,Hedeoma pulegioides
HEDEOM,Hedeoma sp.
HEDHEL,Hedera helix
HEDCAE,Hedyotis caerulea
HEDCAN,Hedyotis canadensis
HEDLON,Hedyotis longifolia
HEDNIG,Hedyotis nigricans
HEDPUR,Hedyotis purpurea
HEDYOT,Hedyotis sp.
HELAMA,Helenium amarum
HELAUT,Helenium autumnale
HELFLE,Helenium flexuosum
HELENI,Helenium sp.
HELBIC,Helianthemum bicknellii
HELCAN,Helianthemum canadense
HELANT,Helianthemum sp.
HELANG,Helianthus angustifolius
HELANN,Helianthus annuus
HELDEC,Helianthus decapetalus
HELDIV,Helianthus divaricatus
HELGIG,Helianthus giganteus
HELGRO,Helianthus grosseserratus
HELHIR,Helianthus hirsutus
HELMAX,Helianthus maximiliani
HELMIC,Helianthus microcephalus
HELMOL,Helianthus mollis
HELOCC,Helianthus occidentalis
HELPET,Helianthus petiolaris
HELIAN,Helianthus sp.
HELSTR,Helianthus strumosus
HELTUB,Helianthus tuberosus
HELHEL,Heliopsis helianthoides
HELEUR,Heliotropium europaeum
HELIND,Heliotropium indicum
HELVIR,Helleborus viridis
HEMFUL,Hemerocallis fulva
HEMLIL,Hemerocallis lilioasphodelus
HEPACU,Hepatica acutiloba
HEPAME,Hepatica americana
HEPATI,Hepatica sp.
HERLAN,Heracleum lanatum
HERMAN,Heracleum mantegazzianum
HESMAT,Hesperis matronalis
HETREN,Heteranthera reniformis
HEUAME,Heuchera americana
HEULON,Heuchera longiflora
HEUPAR,Heuchera parviflora
HEUCHE,Heuchera sp.
HEUVIL,Heuchera villosa
HEXSPI,Hexalectris spicata
HIBLAE,Hibiscus laevis
HIBMOS,Hibiscus moscheutos
HIBISC,Hibiscus sp.
HIBSYR,Hibiscus syriacus
HIBTRI,Hibiscus trionum
HIEAUR,Hieracium aurantiacum
HIEAUR,Hieracium aurianticum
HIECAE,Hieracium caespitosum
HIEFLO,Hieracium floribundum
HIEGRO,Hieracium gronovii
HIEKALF,Hieracium kalmii L. var. fasciculatum
HIELON,Hieracium longipilum
HIEPAN,Hieracium paniculatum
HIEPLSA,Hieracium pilosella
HIEPLOI,Hieracium piloselloides
HIESCA,Hieracium scabrum
HIERAC,Hieracium sp.
HIEKALF,Hieracium umbellatum
HIEVEN,Hieracium venosum
HIEODO,Hierochloe odorata
HOLLAN,Holcus lanatus
HOLUMB,Holosteum umbellatum
HORPUS,Hordeam pusillum
HORDEU,Hordeam sp.
HORVUL,Hordeaum vulgare
HORJUB,Hordeum jubatum
HORPUS,Hordeum pusillum
HORDEU,Hordeum sp.
HORVUL,Hordeum vulgare
HOSLAN,Hosta lancifolia
HOSVEN,Hosta ventricosa
HOTINF,Hottonia inflata
HUDTOM,Hudsonia tomentosa
HUMJAP,Humulus japonicus
HUMLUP,Humulus lupulus
HUMULU,Humulus sp.
HUPAPP,Huperzia appalachiana
HUPLUC,Huperzia lucidula
HUPPOR,Huperzia porophila
HUPERZ,Huperzia sp.
HYBCON,Hybanthus concolor
HYDARB,Hydrangea arborescens
HDRCAN,Hydrastis canadensis
HYDMOR,Hydrocharis morsus-ranae
HYDAME,Hydrocotyle americana
HYDRAN,Hydrocotyle ranunculoides
HYDSIB,Hydrocotyle sibthorpioides
HYDROC,Hydrocotyle sp.
HYDUMB,Hydrocotyle umbellata
HYDAPP,Hydrophyllum appendiculatum
HYDCAN,Hydrophyllum canadense
HYDMAC,Hydrophyllum macrophyllum
HYDROP,Hydrophyllum sp.
HYDVIR,Hydrophyllum virginianum
HYMHER,Hymenoxys herbacea
HYPBOR,Hypericum boreale
HYPCAN,Hypericum canadense
HYPDEN,Hypericum denticulatum
HYPDRU,Hypericum drummondii
HYPELL,Hypericum ellipticum
HYPGEN,Hypericum gentianoides
HYPGYM,Hypericum gymnanthum
HYPHYP,Hypericum hypericoides
HYPKAL,Hypericum kalmianum
HYPMAJ,Hypericum majus
HYPMUT,Hypericum mutilum
HYPPER,Hypericum perforatum
HYPPRO,Hypericum prolificum
HYPPUN,Hypericum punctatum
HYPPYR,Hypericum pyramidatum
HYPERI,Hypericum sp.
HYPSPH,Hypericum sphaerocarpum
HYPRAD,Hypochaeris radicata
HYPRAD,Hypochoeris radicata
HYPHIR,Hypoxis hirsuta
IBEUMB,Iberis umbellata
ILEOPA,Ilex opaca
ILEVER,Ilex verticillata
IMPBAL,Impatiens balsamina
IMPCAP,Impatiens capensis
IMPPAL,Impatiens pallida
IMPATI,Impatiens sp.
INUHEL,Inula helenium
IODPIN,Iodanthus pinnatifidus
IONLIN,Ionactis linariifolius
IONACT,Ionactis sp.
IPOCOC,Ipomoea coccinea
IPOHED,Ipomoea hederacea
IPOLAC,Ipomoea lacunosa
IPOPAN,Ipomoea pandurata
IPOPUR,Ipomoea purpurea
IPOMOE,Ipomoea sp.
IRIBRE,Iris brevicaulis
IRICRI,Iris cristata
IRIGER,Iris germanica
IRIPSE,Iris pseudacorus
IRIS,Iris sp.
IRIVERN,Iris verna
IRIVERS,Iris versicolor
IRIVIR,Iris virginica
ISABRA,Isanthus brachiatus
ISOECH,Isoetes echinospora
ISOENG,Isoetes engelmannii
ISOETE,Isoetes sp.
ISOBIT,Isopyrum biternatum
ISOMED,Isotria medeoloides
ISOTRI,Isotria sp.
ISOVER,Isotria verticillata
IVAANN,Iva annua
IVAXAN,Iva xanthifolia
JACTAM,Jacquemontia tamnifolia
JEFDIP,Jeffersonia diphylla
JUGCIN,Juglans cinerea
JUGNIG,Juglans nigra
JUGLAN,Juglans sp.
JUNACU,Juncus acuminatus
JUNALP,Juncus alpinus
JUNANT,Juncus anthelatus
JUNART,Juncus articulatus
JUNARC,Juncus balticus
JUNBRCR,Juncus brachycarpus
JUNBRCP,Juncus brachycephalus
JUNBUF,Juncus bufonius
JUNCAN,Juncus canadensis
JUNDIC,Juncus dichotomous
JUNDIF,Juncus diffusissimus
JUNDUD,Juncus dudleyi
JUNEFF,Juncus effusus
JUNGER,Juncus gerardii
JUNGRE,Juncus greenei
JUNINT,Juncus interior
JUNMAR,Juncus marginatus
JUNNOD,Juncus nodosus
JUNSEC,Juncus secundus
JUNCUS,Juncus sp.
JUNCUS,Juncus sp. 2
JUNCUS,Juncus sp. 3
JUNSUB,Juncus subcaudatus
JUNTEN,Juncus tenuis
JUNTOR,Juncus torreyi
JUNVAL,Juncus validus
JUNCOM,Juniperus communis
JUNIPE,Juniperus sp.
JUNVIR,Juniperus virginiana
JUSAME,Justicia americana
KALLAT,Kalmia latifolia
KERJAP,Kerria japonica
KICELA,Kickxia elatine
KICSPU,Kickxia spuria
KOCSCO,Kochia scoparia
KOEPYR,Koeleria pyramidata
KOEPAN,Koelreuteria paniculata
KRIBIF,Krigia biflora
KRIDAN,Krigia dandelion
KRIGIA,Krigia sp.
KRIVIR,Krigia virginica
KUHEUP,Kuhnia eupatorioides
KILGRA,Kyllinga gracillima
KYLPUM,Kyllinga pumila
KYLLIN,Kyllinga sp.
LACBIE,Lactuca biennis
LACCAN,Lactuca canadensis
LACFLO,Lactuca floridana
LACHIR,Lactuca hirsuta
LACPUL,Lactuca pulchella
LACSAL,Lactuca saligna
LACSER,Lactuca serriola
LACTUC,Lactuca sp.
LAMAMP,Lamium amplexicaule
LAMMAC,Lamium maculatum
LAMPUR,Lamium purpuream
LAMPUR,Lamium purpureum
LAMIUM,Lamium sp.
LAPCAN,Laportea canadensis
LAPSQU,Lappula squarrosa
LAPCOM,Lapsana communis
LARLAR,Larix laricina
LATLAT,Lathyrus latifolius
LATMAR,Lathyrus maritimus
LATOCH,Lathyrus ochroleucus
LATODO,Lathyrus odoratus
LATPAL,Lathyrus palustris
LATPRA,Lathyrus pratensis
LATHYR,Lathyrus sp.
LATTUB,Lathyrus tuberosus
LATVEN,Lathyrus venosus
LEAUNI,Leavenworthia uniflora
LECINT,Lechea intermedia
LECMIN,Lechea minor
LECMUC,Lechea mucronata
LECPUL,Lechea pulchella
LECRAC,Lechea racemulosa
LECHEA,Lechea sp.
LECTEN,Lechea tenuifolia
LEDGRO,Ledum groenlandicum
LEELEN,Leersia lenticularis
LEEORY,Leersia oryzoides
LEERSI,Leersia sp.
LEEVIR,Leersia virginica
LEMMIN,Lemna minor
LEMNA,Lemna sp.
LEMTRI,Lemna trisulca
LEMVAL,Lemna valdiviana
LEOAUT,Leontodon autumnalis
LEOHIS,Leontodon hispidus
LEONTO,Leontodon sp.
LEOTAR,Leontodon taraxacoides
LEOCAR,Leonurus cardiaca
LEOMAR,Leonurus marrubiastrum
LEONUR,Leonurus sp.
LEPCAM,Lepidium campestre
LEPDEN,Lepidium densiflorum
LEPPER,Lepidium perfoliatum
LEPRUD,Lepidium ruderale
LEPSAT,Lepidium sativum
LEPIDI,Lepidium sp.
LEPVIR,Lepidium virginicum
