SpeciesCode,WoodySpecies
ARAGLA,Arabis glabra
ARAHIRA,Arabis hirsuta var. adpressipilis
ARAHIRP,Arabis hirsuta var. pycnocarpa
ARALAE,Arabis laevigata
ARALYR,Arabis lyrata
ARAMIS,Arabis missouriensis
ARAPAT,Arabis patens
ARAPYCA,Arabis pycnocarpa M. Hopkins. var. adpressipilis
ARAPYCP,Arabis pycnocarpa M. Hopkins. var. pycnocarpa
ARASHO,Arabis shortii
ARABIS,Arabis sp.
ARAHIS,Aralia hispida
ARANUD,Aralia nudicaulis
ARARAC,Aralia racemosa
ARALIA,Aralia sp.
ARASPI,Aralia spinosa
ARCLAP,Arctium lappa
ARCMIN,Arctium minus
ARCUVA,Arctostaphylos uva-ursi
ARELAT,Arenaria lateriflora
AREPAT,Arenaria patula
ARESER,Arenaria serpyllifolia
ARENAR,Arenaria sp.
ARESTR,Arenaria stricta
AREBUL,Arethusa bulbosa
ARGALB,Argemone albiflora
ARGMEX,Argemone mexicana
ARIDRA,Arisaema dracontium
ARISAE,Arisaema sp.
ARITRIS,Arisaema triphyllum (L.) Schott subsp. stewardsonii
ARITRIT,Arisaema triphyllum subsp. triphyllum
ARIDIC,Aristida dichotoma
ARILONG,Aristida longespica Poir. var. geniculata
ARILONG,Aristida longespica var. geniculata
ARILONL,Aristida longespica var. longespica
ARIOLI,Aristida oligantha
ARIPUR,Aristida purpurascens
ARISTI,Aristida sp.
ARICLE,Aristolochia clematitis
ARISER,Aristolochia serpentaria
ARITOM,Aristolochia tomentosa
ARMLAC,Armoracia lacustris
ARMRUS,Armoracia rusticana
ARNMIN,Arnoseris minima
AROARB,Aronia arbutifolia
AROMEL,Aronia melanocarpa
ARONIA,Aronia sp.
ARRELA,Arrhenatherum elatius
ARTABS,Artemisia absinthium
ARTANN,Artemisia annua
ARTBIE,Artemisia biennis
ARTCAM,Artemisia campestris L. var. caudata
ARTCAM,Artemisia campestris var. caudata
ARTLUD,Artemisia ludoviciana
ARTPON,Artemisia pontica
ARTEMS,Artemisia sp.
ARTVUL,Artemisia vulgaris
ARTEMS,Artemsia sp.
ARTHIS,Arthraxon hispidus
ARUDIO,Aruncus dioicus
ARUGIG,Arundinaria gigantea
ASACAN,Asarum canadense
ASCAMP,Asclepias amplexicaulis
ASCEXA,Asclepias exaltata
ASCHIR,Asclepias hirtella
ASCINC,Asclepias incarnata
ASCPUR,Asclepias purpurascens
ASCQUA,Asclepias quadrifolia
ASCLEP,Asclepias sp.
ASCSUL,Asclepias sullivantii
ASCSYR,Asclepias syriaca
ASCTUB,Asclepias tuberosa
ASCVAR,Asclepias variegata
ASCVER,Asclepias verticillata
ASCVIR,Asclepias viridiflora
ASCVID,Asclepias viridis
ASITRI,Asimina triloba
ASPOFF,Asparagus officinalis
ASPPRO,Asperugo procumbens
ASPBRA,Asplenium bradleyi
ASPMON,Asplenium montanum
ASPPIN,Asplenium pinnatifidum
ASPPLA,Asplenium platyneuron
ASPRES,Asplenium resiliens
ASPRHI,Asplenium rhizophyllum
ASPRUT,Asplenium ruta-muraria
ASPLEN,Asplenium sp.
ASPTRI,Asplenium trichomanes
ASTACU,Aster acuminatus
ASTBOR,Aster borealis
ASTBRA,Aster brachyactis
ASTCOR,Aster cordifolius
ASTDIV,Aster divaricatus
ASTDRU,Aster drummondii
ASTDUM,Aster dumosus
ASTERI,Aster ericoides
ASTFIR,Aster firmus
ASTINF,Aster infirmus
ASTLAE,Aster laevis
ASTLAN,Aster lanceolatus
ASTLAT,Aster lateriflorus
ASTLIN,Aster linariifolius
ASTLOW,Aster lowrieanus
ASTMAC,Aster macrophyllus
ASTNOV,Aster novae-angliae
ASTOBL,Aster oblongifolius
ASTONT,Aster ontarionis
ASTOOL,Aster oolentangiensis
ASTPAT,Aster patens
ASTPTR,Aster paternus
ASTPIL,Aster pilosus
ASTPRA,Aster praealtus
ASTPRE,Aster prenanthoides
ASTPUN,Aster puniceus
ASTRAC,Aster racemosus
ASTSAG,Aster sagittifolius
ASTSCH,Aster schreberi
ASTSHO,Aster shortii
ASTSOL,Aster solidagineus
ASTER,Aster sp.
ASTSUB,Aster subulatus
ASTSUR,Aster surculosus
ASTUMB,Aster umbellatus
ASTUND,Aster undulatus
ASTCAN,Astragalus canadensis
ASTNEG,Astragalus neglectus
ATHFEL,Athyrium filix-femina
ATHPYC,Athyrium pycnocarpon
ATHYRI,Athyrium sp.
ATHTHE,Athyrium thelypteriodes
ATRPAT,Atriplex patula
ATRROS,Atriplex rosea
AUEROL,Auerolaria sp.
AURFLA,Aureolaria flava
AURLAE,Aureolaria laevigata
AURPEDA,Aureolaria pedicularia (L.) Raf. var. ambigens
AURPEDA,Aureolaria pedicularia var. ambigens
AURPEDP,Aureolaria pedicularia var. pedicularia
AUEROL,Aureolaria sp.
AURVIR,Aureolaria virginica
AVEFAT,Avena fatua
AVESAT,Avena sativa
AZOCAR,Azolla caroliniana
BALNIG,Ballota nigra
BAPAUS,Baptisia australis
BAPLAC,Baptisia lactea
BAPTIS,Baptisia sp.
BAPTIN,Baptisia tinctoria
BARBAR,Barbarea sp.
BARVER,Barbarea verna
BARVUL,Barbarea vulgaris
BARPAN,Bartonia paniculata
BARTON,Bartonia sp.
BARVIR,Bartonia virginica
BECSYZ,Beckmannia syzigachne
BELCHI,Belamcanda chinensis
BELPER,Bellis perennis
BERBER,Berberis sp.
BERTHU,Berberis thunbergii
BERVUL,Berberis vulgaris
BERINC,Berteroa incana
BESBUL,Besseya bullii
BETALB,Betula alba
BETALL,Betula alleghaniensis
BETLEN,Betula lenta
BETNIG,Betula nigra
BETPAP,Betula papyrifera
BETPEN,Betula pendula
BETPOP,Betula populifolia
BETPUM,Betula pumila
BETULA,Betula sp.
BIDARI,Bidens aristosa
BIDBEC,Bidens beckii
BIDBIP,Bidens bipinnata
BIDCER,Bidens cernua
BIDCOM,Bidens comosa
BIDCON,Bidens connata
BIDCOR,Bidens coronata
BIDDIS,Bidens discoidea
BIDFRO,Bidens frondosa
BIDPOL,Bidens polylepis
BIDENS,Bidens sp.
BIDENS,Bidens sp. 2
BIDENS,Bidens sp. 3
BIDVUL,Bidens vulgata
BIGCAP,Bignonia capreolata
BLECIL,Blephilia ciliata
BLEHIR,Blephilia hirsuta
BLEPHI,Blephilia sp.
BOEGRA,Boechera grahamii
BOEMIS,Boechera missouriensis
BOESTR,Boechera stricta
BOECYL,Boehmeria cylindrica
BOLFLU,Bolboschoenus fluviatilis
BOMA7,Bolboschoenus maritimus
BOLAST,Boltonia asteroides
BOROFF,Borago officinalis
BOTBLA,Bothriochloa bladhii
BOTISC,Bothriochloa ischaemum
BOTBIT,Botrychium biternatum
BOTDIS,Botrychium dissectum
BOTLAN,Botrychium lanceolatum
BOTMAT,Botrychium matricariifolium
BOTMUL,Botrychium multifidum
BOTONE,Botrychium oneidense
BOTSIM,Botrychium simplex
BOTRYC,Botrychium sp.
BOTVIR,Botrychium virginianum
BOUCUR,Bouteloua curtipendula
BOUGRA,Bouteloua gracilis
BOUHIR,Bouteloua hirsuta
BRACHY,Brachyeletrum sp.
BRAARI,Brachyelytrum aristosum
BRAERE,Brachyelytrum erectum
BRACHY,Brachyelytrum sp.
BRASCH,Brasenia schreberi
BRAALB,Brassica alba
BRAJUN,Brassica juncea
BRANAP,Brassica napus
BRANIG,Brassica nigra
BRAOLE,Brassica oleracea
BRARAP,Brassica rapa
BRASSI,Brassica sp.
BROCOM,Bromis commutatus
BROARV,Bromus arvensis
